Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
245,Enes Kanter\kanteen01,C,26,NYK,35,23,27.2,6.1,10.9,.554,0.2,0.5,.353,5.9,10.5,.563,.561,2.6,3.1,.843,3.9,7.0,10.9,2.0,0.4,0.4,1.9,2.5,14.9
246,Luke Kennard\kennalu01,SG,22,DET,14,8,18.6,2.3,5.9,.390,0.9,2.9,.317,1.4,2.9,.463,.470,0.1,0.1,.500,0.1,2.3,2.4,1.1,0.3,0.2,1.0,1.4,5.6
247,Michael Kidd-Gilchrist\kiddgmi01,PF,25,CHO,26,1,19.4,3.2,6.5,.485,0.2,0.6,.375,2.9,5.9,.497,.503,1.7,2.1,.782,2.0,3.2,5.2,1.1,0.5,1.1,0.8,2.7,8.2
248,George King\kingge03,SF,25,PHO,1,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Maxi Kleber\klebima01,PF,27,DAL,29,1,17.4,2.3,5.2,.441,0.9,3.0,.291,1.4,2.3,.636,.523,0.9,1.1,.781,1.1,2.4,3.6,0.7,0.4,1.3,0.5,1.4,6.3
250,Brandon Knight\knighbr03,PG,27,HOU,6,0,8.5,0.5,3.3,.150,0.3,2.5,.133,0.2,0.8,.200,.200,0.0,0.0,,0.2,0.3,0.5,0.2,0.0,0.0,0.3,1.0,1.3
251,Kevin Knox\knoxke01,PF,19,NYK,28,10,24.9,4.3,11.3,.381,1.6,4.6,.359,2.6,6.7,.396,.454,1.8,2.6,.681,0.9,3.3,4.2,0.9,0.5,0.4,1.3,2.2,12.0
252,Furkan Korkmaz\korkmfu01,SG,21,PHI,27,2,14.4,2.2,5.4,.414,1.0,3.0,.329,1.2,2.3,.524,.507,0.6,0.7,.833,0.3,2.0,2.4,1.1,0.7,0.1,0.4,1.2,6.0
253,Luke Kornet\kornelu01,PF,23,NYK,13,0,8.2,1.1,2.7,.400,0.8,2.2,.357,0.3,0.5,.571,.543,0.4,0.5,.833,0.5,1.2,1.7,0.7,0.2,0.4,0.3,0.5,3.3
254,Kyle Korver\korveky01,PF-SG,37,TOT,29,0,16.7,2.6,5.8,.455,1.7,4.1,.424,0.9,1.7,.531,.605,0.7,0.8,.792,0.1,1.8,1.8,1.0,0.3,0.2,0.9,1.3,7.6
